date,portfolio_value,USDT_balance,BTC_balance,BTC_price,ETH_balance,BNB_balance,SOL_balance,other_balance,daily_return,cumulative_return
2025-05-19,271112.78518050007,270899.52622569987,0.002020000000002114,105573.74,0.0,0.0,0.0,0.0,-6.560512186837286e-06,4.052943171436065
2025-05-20,271115.3632055001,270899.52622569987,0.002020000000002114,106849.99,0.0,0.0,0.0,0.0,9.509049889944166e-06,4.052991220124773
2025-05-21,271121.0070855001,270899.52622569987,0.002020000000002114,109643.99,0.0,0.0,0.0,0.0,2.081726366687242e-05,4.053096409575309
2025-05-22,271125.1525699001,270899.52622569987,0.002020000000002114,111696.21,0.0,0.0,0.0,0.0,1.529016303281061e-05,4.053173672243233
2025-05-23,271116.3091917001,270899.52622569987,0.002020000000002114,107318.3,0.0,0.0,0.0,0.0,-3.261732862558375e-05,4.053008851216963
2025-05-24,271117.2052839001,270899.52622569987,0.002020000000002114,107761.91,0.0,0.0,0.0,0.0,3.3051947434525886e-06,4.0530255523952565
2025-05-25,271119.7146895001,270899.52622569987,0.002020000000002114,109004.19,0.0,0.0,0.0,0.0,9.255796205920319e-06,4.053072322169993
2025-05-26,271120.5845015001,270899.52622569987,0.002020000000002114,109434.79,0.0,0.0,0.0,0.0,3.2082211396389226e-06,4.053088533543437
2025-05-27,271119.5813291001,270899.52622569987,0.002020000000002114,108938.17,0.0,0.0,0.0,0.0,-3.7000967737510493e-06,4.0530698366268565
2025-05-28,271117.2454213001,270899.52622569987,0.002020000000002114,107781.78,0.0,0.0,0.0,0.0,-8.61578418109854e-06,4.053026300467692
2025-05-29,271112.8175207001,270899.52622569987,0.002020000000002114,105589.75,0.0,0.0,0.0,0.0,-1.6332050707945633e-05,4.052943774185924
2025-05-30,271109.57689530007,270899.52622569987,0.002020000000002114,103985.48,0.0,0.0,0.0,0.0,-1.1953051241464507e-05,4.0528833760900715
2025-05-31,271110.8018233001,270899.52622569987,0.002020000000002114,104591.88,0.0,0.0,0.0,0.0,4.518202617598277e-06,4.052906206040968
2025-06-01,271112.9249443001,270899.52622569987,0.002020000000002114,105642.93,0.0,0.0,0.0,0.0,7.831192950336074e-06,4.052945776324428
2025-06-02,271113.3593655001,270899.52622569987,0.002020000000002114,105857.99,0.0,0.0,0.0,0.0,1.6023625584171697e-06,4.052953872975549
2025-06-03,271112.3875435001,270899.52622569987,0.002020000000002114,105376.89,0.0,0.0,0.0,0.0,-3.5845596183525785e-06,4.052935760361143
2025-06-04,271111.01388290006,270899.52622569987,0.002020000000002114,104696.86,0.0,0.0,0.0,0.0,-5.06675704670112e-06,4.052910158363272
2025-06-05,271104.5737593001,270899.52622569987,0.002020000000002114,101508.68,0.0,0.0,0.0,0.0,-2.3754562781141964e-05,4.052790128691687
2025-06-06,271110.1888745001,270899.52622569987,0.002020000000002114,104288.44,0.0,0.0,0.0,0.0,2.0711989923816176e-05,4.052894782029919
2025-06-07,271112.7415687001,270899.52622569987,0.002020000000002114,105552.15,0.0,0.0,0.0,0.0,9.415707357351977e-06,4.052942358608495
2025-06-08,271113.1089057001,270899.52622569987,0.002020000000002114,105734.0,0.0,0.0,0.0,0.0,1.3549234088028328e-06,4.052949204958379
2025-06-09,271122.2575261001,270899.52622569987,0.002020000000002114,110263.02,0.0,0.0,0.0,0.0,3.374466264993714e-05,4.053119715024688
2025-06-10,271122.2804935001,270899.52622569987,0.002020000000002114,110274.39,0.0,0.0,0.0,0.0,8.47123369229763e-08,4.053120143086268
2025-06-11,271118.9893681001,270899.52622569987,0.002020000000002114,108645.12,0.0,0.0,0.0,0.0,-1.213889686235703e-05,4.053058803782018
2025-06-12,271112.9831203001,270899.52622569987,0.002020000000002114,105671.73,0.0,0.0,0.0,0.0,-2.2153548941750145e-05,4.052946860596502
2025-06-13,271113.7807375001,270899.52622569987,0.002020000000002114,106066.59,0.0,0.0,0.0,0.0,2.9420103413446697e-06,4.05296172641842
2025-06-14,271112.4637985001,270899.52622569987,0.002020000000002114,105414.64,0.0,0.0,0.0,0.0,-4.85751405354673e-06,4.052937181585822
2025-06-15,271112.8261259001,270899.52622569987,0.002020000000002114,105594.01,0.0,0.0,0.0,0.0,1.3364468565146836e-06,4.052943934567835
2025-06-16,271115.2511763001,270899.52622569987,0.002020000000002114,106794.53,0.0,0.0,0.0,0.0,8.944801449084494e-06,4.052989132148063
2025-06-17,271110.7195891001,270899.52622569987,0.002020000000002114,104551.17,0.0,0.0,0.0,0.0,-1.6714615575286196e-05,4.052904673377213
2025-06-18,270747.81752130017,165649.1662256999,1.0020200000000021,104886.78,0.0,0.0,0.0,0.0,-0.0013385751339893837,4.046140980827012
2025-06-19,270519.1665775001,165649.1662256999,1.0020200000000021,104658.59,0.0,0.0,0.0,0.0,-0.0008445162952497309,4.0418794325405765
2025-06-20,269155.8181655001,165649.1662256999,1.0020200000000021,103297.99,0.0,0.0,0.0,0.0,-0.00503974793819062,4.016469631065824
2025-06-21,267975.45864590013,165649.1662256999,1.0020200000000021,102120.01,0.0,0.0,0.0,0.0,-0.004385413355152523,3.994470338150031
2025-06-22,265447.3585636999,63315.67154629986,2.0020200000000004,100963.87,0.0,0.0,0.0,0.0,-0.00943407316093392,3.947352139579809
2025-06-23,274196.3060848999,63315.67154629986,2.0020200000000004,105333.93,0.0,0.0,0.0,0.0,0.03295925628546237,4.11041318668265
2025-06-24,275695.9592062999,63315.67154629986,2.0020200000000004,106083.0,0.0,0.0,0.0,0.0,0.0054692681415471345,4.138363406714716
2025-06-25,278213.6595178999,63315.67154629986,2.0020200000000004,107340.58,0.0,0.0,0.0,0.0,0.009132162541838573,4.18528777654387
2025-06-26,277425.8246074999,63315.67154629986,2.0020200000000004,106947.06,0.0,0.0,0.0,0.0,-0.0028317621491527056,4.170604274885789
2025-06-27,277627.0876780999,63315.67154629986,2.0020200000000004,107047.59,0.0,0.0,0.0,0.0,0.0007254662426787739,4.174355373741468
2025-06-28,278125.99106209987,63315.67154629986,2.0020200000000004,107296.79,0.0,0.0,0.0,0.0,0.0017970270414622291,4.1836538302702175
2025-06-29,280248.4125448999,63315.67154629986,2.0020200000000004,108356.93,0.0,0.0,0.0,0.0,0.007631151172513562,4.223211076274988
2025-06-30,277825.1074762999,63315.67154629986,2.0020200000000004,107146.5,0.0,0.0,0.0,0.0,-0.008646989456940202,4.178046025167065
2025-07-01,274891.4274490999,63315.67154629986,2.0020200000000004,105681.14,0.0,0.0,0.0,0.0,-0.010559448906000246,4.123368712731396
2025-07-02,281234.7477382999,63315.67154629986,2.0020200000000004,108849.6,0.0,0.0,0.0,0.0,0.023075729745608564,4.241594184533492
2025-07-03,282706.5928018999,63315.67154629986,2.0020200000000004,109584.78,0.0,0.0,0.0,0.0,0.00523351070746636,4.269026123822441
2025-07-04,279502.2797110999,63315.67154629986,2.0020200000000004,107984.24,0.0,0.0,0.0,0.0,-0.011334412328492527,4.209304809165439
2025-07-05,279930.4717486999,63315.67154629986,2.0020200000000004,108198.12,0.0,0.0,0.0,0.0,0.001531980483459927,4.217285362465475
2025-07-06,279608.0815030999,279169.0820662999,0.0040199999999996835,109203.84,0.0,0.0,0.0,0.0,-0.0011516797138448887,4.211276720752183
2025-07-07,279604.2990850999,279169.0820662999,0.0040199999999996835,108262.94,0.0,0.0,0.0,0.0,-1.3527570375093667e-05,4.211206224839599
2025-07-08,279606.9524458999,279169.0820662999,0.0040199999999996835,108922.98,0.0,0.0,0.0,0.0,9.489699581477495e-06,4.211255677621129
2025-07-09,279616.2427060999,279169.0820662999,0.0040199999999996835,111233.99,0.0,0.0,0.0,0.0,3.322614162026838e-05,4.211428827540294
2025-07-10,279635.44226629985,279169.0820662999,0.0040199999999996835,116010.0,0.0,0.0,0.0,0.0,6.866396606342029e-05,4.2117866649124505
2025-07-11,279641.5432594999,279169.0820662999,0.0040199999999996835,117527.66,0.0,0.0,0.0,0.0,2.1817667855694722e-05,4.21190037394284
2025-07-12,279641.11046629987,279169.0820662999,0.0040199999999996835,117420.0,0.0,0.0,0.0,0.0,-1.5476713329798386e-06,4.211892307634041
2025-07-13,279647.8103590999,279169.0820662999,0.0040199999999996835,119086.64,0.0,0.0,0.0,0.0,2.395889784878591e-05,4.212017178829439
2025-07-14,279650.84360989986,279169.0820662999,0.0040199999999996835,119841.18,0.0,0.0,0.0,0.0,1.0846681746112807e-05,4.212073711921033
2025-07-15,280142.46958809986,279669.0820662999,0.0040199999999996835,117758.09,0.0,0.0,0.0,0.0,0.001757999267421484,4.221236533688337
2025-07-16,280145.9763948999,279669.0820662999,0.0040199999999996835,118630.43,0.0,0.0,0.0,0.0,1.25179406220699e-05,4.221301892817239
2025-07-17,280148.1758574999,279669.0820662999,0.0040199999999996835,119177.56,0.0,0.0,0.0,0.0,7.851130429559205e-06,4.221342885939412
2025-07-18,280143.1399230999,279669.0820662999,0.0040199999999996835,117924.84,0.0,0.0,0.0,0.0,-1.7975967127270565e-05,4.221249027251334
2025-07-19,280142.79886629985,279669.0820662999,0.0040199999999996835,117840.0,0.0,0.0,0.0,0.0,-1.2174376289308952e-06,4.221242670706298
2025-07-20,280140.4878486999,279669.0820662999,0.0040199999999996835,117265.12,0.0,0.0,0.0,0.0,-8.24942711108445e-06,4.221199598445457
2025-07-21,280140.9511134999,279669.0820662999,0.0040199999999996835,117380.36,0.0,0.0,0.0,0.0,1.6536874178907368e-06,4.221208232677538
2025-07-22,278730.4720882099,278248.2553198099,0.0040199999999996835,119954.42,0.0,0.0,0.0,0.0,-0.0050348905423631685,4.194920020727121
2025-07-23,278725.65439960983,278248.2553198099,0.0040199999999996835,118755.99,0.0,0.0,0.0,0.0,-1.7284398666439493e-05,4.194830229658443
2025-07-24,278723.9860996099,278248.2553198099,0.0040199999999996835,118340.99,0.0,0.0,0.0,0.0,-5.985455495904901e-06,4.194799136233295
2025-07-25,278721.06484600983,278248.2553198099,0.0040199999999996835,117614.31,0.0,0.0,0.0,0.0,-1.0480811647783916e-05,4.194744690522
2025-07-26,278722.29367960984,278248.2553198099,0.0040199999999996835,117919.99,0.0,0.0,0.0,0.0,4.4088293100763565e-06,4.1947675932646495
2025-07-27,278728.30583080987,278248.2553198099,0.0040199999999996835,119415.55,0.0,0.0,0.0,0.0,2.1570399413306518e-05,4.194879646476495
2025-07-28,278722.86584620987,278248.2553198099,0.0040199999999996835,118062.32,0.0,0.0,0.0,0.0,-1.9517158775017585e-05,4.194778257185617
2025-07-29,278722.41737500986,278248.2553198099,0.0040199999999996835,117950.76,0.0,0.0,0.0,0.0,-1.6090219173703346e-06,4.194769898673545
2025-07-30,278721.9733258099,278248.2553198099,0.0040199999999996835,117840.3,0.0,0.0,0.0,0.0,-1.593159259183352e-06,4.194761622577782
