date,datetime,open_price,high_price,low_price,close_price,volume_btc,volume_usdt,trade_count,taker_buy_volume_btc,taker_buy_volume_usdt,price_change,price_change_abs,high_low_ratio,volume_ratio,ma_7,ma_30,ma_90
2025-04-18,2025-04-18 00:00:00+00:00,84947.92,85132.08,84303.96,84474.69,6529.96315,552648483.6474872,840009,2911.78856,246467088.2621466,-0.005570707978571843,-473.22000000000116,1.0098230261069585,0.4459744223587851,84389.34999999999,83596.115,90428.01288888889
2025-04-19,2025-04-19 00:00:00+00:00,84474.7,85677.99,84364.45,85077.01,9666.58153,823222752.2842493,875226,5416.30087,461342923.999082,0.007130183016948566,602.3199999999924,1.0155698282866776,0.5604108034173789,84360.79428571429,83624.56899999999,90247.40666666666
2025-04-20,2025-04-20 00:00:00+00:00,85077.0,85320.76,83949.52,85179.24,8091.67725,685253644.8918362,944130,3843.48314,325482835.7378329,0.0012016172171542827,102.23000000001048,1.0163341017316119,0.47498154612400306,84563.54285714286,83660.91733333333,90057.62033333334
2025-04-21,2025-04-21 00:00:00+00:00,85179.24,88465.99,85144.76,87516.23,31773.37262,2773299591.467066,3041395,17216.39877,1502705225.134135,0.02743614523914495,2336.9899999999907,1.0390068631352065,0.5418474187778642,84981.34999999999,83783.43866666667,89850.6471111111
2025-04-22,2025-04-22 00:00:00+00:00,87516.22,93888.0,87076.03,93442.99,43872.74705,3967785064.1281695,3268475,22777.77047,2062639579.2030852,0.0677218385664009,5926.760000000009,1.0782301397985186,0.5198466010296108,86381.20714285715,84028.78833333333,89736.60633333333
2025-04-23,2025-04-23 00:00:00+00:00,93442.99,94696.05,91935.41,93691.08,27404.16808,2560279933.947952,3016536,13128.05774,1226992558.5765462,0.0026549878166355345,248.0899999999965,1.0300280381628797,0.4792415635131443,87761.30714285714,84235.219,89623.059
2025-04-24,2025-04-24 00:00:00+00:00,93691.07,94005.0,91660.01,93980.47,19497.06071,1811120137.314679,2797383,8565.18128,795787487.3608981,0.0030887678955136,289.3899999999994,1.0255835669230235,0.4393896743596482,89051.67285714285,84454.80566666668,89502.05866666666
2025-04-25,2025-04-25 00:00:00+00:00,93980.47,95758.04,92855.96,94638.68,27500.66648,2596877713.640173,3331828,13072.22136,1234153095.7292683,0.007003689170739236,658.2099999999919,1.0312535673531347,0.47524497947933575,90503.67142857144,84712.45599999999,89389.74566666667
2025-04-26,2025-04-26 00:00:00+00:00,94638.68,95199.0,93870.69,94628.0,9415.06875,889627361.8414446,1475983,4156.22463,392757114.43835795,-0.0001128502637609552,-10.679999999993015,1.0141504233110463,0.44148497594024966,91868.09857142858,84958.989,89300.94566666667
2025-04-27,2025-04-27 00:00:00+00:00,94628.0,95369.0,93602.58,93749.3,11162.841,1052334792.1866188,1918160,5250.08719,495112239.1081697,-0.009285835059390402,-878.6999999999971,1.0188714883713674,0.47048928039278165,93092.39285714286,85269.81966666668,89208.35088888889
